alpha tag,tag,entity,mode,description,type,tone,entity_type,group,license,category,frequency
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (Domestic Terminal Building) Mascot,RM,,Federal,Sydney,VlL2AFP,Australian Federal Police (AFP),489.525
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (International Terminal URS) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.525
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (International Terminal Building) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.525
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (International Terminal Building) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.5375
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (International Terminal Building) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.550
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (Domestic Terminal URS) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.550
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (Domestic Terminal Building) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.550
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (International Terminal URS) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.550
KurrajongHts,Law Tac,Australian Federal Police,P25,Kurrajong Heights,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.5625
Greenacre,Law Tac,Australian Federal Police,P25,Greenacre,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.575
GPT,Law Tac,Australian Federal Police,P25,"Governor Phillip Tower, Sydney",RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.800
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (Domestic Terminal URS) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.900
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (Domestic Terminal Building) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.900
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (International Terminal URS) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.900
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (International Terminal Building) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.900
RAAF GLEN,Law Tac,Australian Federal Police,P25,"RAAF Base, Glenbrook",RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.9125
Greenacre,Law Tac,Australian Federal Police,P25,Greenacre,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.925
Lucas Height,Law Tac,Australian Federal Police,P25,Lucas Heights,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.9375
Kurrajong,Law Tac,Australian Federal Police,P25,Kurrajong Heights,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.950
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (Domestic Terminal Building) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),500.875
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (Domestic Terminal URS) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),500.875
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (International Terminal Building) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),500.875
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (International Terminal URS) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),500.875
A501 TASK 1,Fire-Tac,Fire and Rescue NSW,FM,A501 TASK 1,M,218.1 PL,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),415.475
A502 TASK 2,Fire-Tac,Fire and Rescue NSW,FM,A502 TASK 2,M,218.1 PL,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),422.6375
A503 TASK 3,Fire-Tac,Fire and Rescue NSW,FM,A503 TASK 3,M,218.1 PL,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),426.0375
A504 TASK 4,Fire-Tac,Fire and Rescue NSW,FM,A504 TASK 4,M,218.1 PL,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),422.8875
A505 TASK 5,Fire-Tac,Fire and Rescue NSW,FM,A505 TASK 5,M,218.1 PL,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),426.2875
A506 TASK 6,Fire-Tac,Fire and Rescue NSW,FM,A506 TASK 6,M,218.1 PL,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),425.2625
A507 TASK 7,Fire-Tac,Fire and Rescue NSW,FM,A507 TASK 7,M,218.1 PL,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),425.2875
A508 TASK 8,Fire-Tac,Fire and Rescue NSW,FM,A508 TASK 8,M,218.1 PL,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),425.3625
A509 TASK 9,Fire-Tac,Fire and Rescue NSW,FM,A509 TASK 9,M,218.1 PL,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),425.500
A510 TASK 10,Fire-Tac,Fire and Rescue NSW,FM,A510 TASK 10,M,218.1 PL,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),425.5875
A511 TASKRPT 1,Fire-Tac,Fire and Rescue NSW,FM,A511 TASK REPEATER 1,RM,192.8 PL,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),421.875
A512 TASKRPT 2,Fire-Tac,Fire and Rescue NSW,FM,A512 TASK REPEATER 2,RM,192.8 PL,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),421.9875
A513 TASKRPT 3,Fire-Tac,Fire and Rescue NSW,FM,A513 TASK REPEATER 3,RM,192.8 PL,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),421.7625
D501 TASK 01,Fire-Tac,Fire and Rescue NSW,P25,D501 TASK 01,M,293 NAC,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),415.475
D502 TASK 02,Fire-Tac,Fire and Rescue NSW,P25,D502 TASK 02,M,293 NAC,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),422.6375
D503 TASK 03,Fire-Tac,Fire and Rescue NSW,P25,D503 TASK 03,M,293 NAC,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),426.0375
D504 TASK 04,Fire-Tac,Fire and Rescue NSW,P25,D504 TASK 04,M,293 NAC,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),422.8875
D505 TASK 05,Fire-Tac,Fire and Rescue NSW,P25,D505 TASK 05,M,293 NAC,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),426.2875
D506 TASK 06,Fire-Tac,Fire and Rescue NSW,P25,D506 TASK 06,M,100 NAC,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),425.2625
D507 TASK 07,Fire-Tac,Fire and Rescue NSW,P25,D507 TASK 07,M,100 NAC,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),425.2875
D508 TASK 08,Fire-Tac,Fire and Rescue NSW,P25,D508 TASK 08,M,100 NAC,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),425.3625
D509 TASK 09,Fire-Tac,Fire and Rescue NSW,P25,D509 TASK 09,M,100 NAC,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),425.500
D510 TASK 10,Fire-Tac,Fire and Rescue NSW,P25,D510 TASK 10,M,100 NAC,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),425.5875
D511 D-RPT 1,Fire-Tac,Fire and Rescue NSW,P25,D511 DIGITAL-RPT 1,RM,110 NAC,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),421.875
D512 D-RPT 2,Fire-Tac,Fire and Rescue NSW,P25,D51 2DIGITAL-RPT 2,RM,110 NAC,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),421.9875
D513 D-RPT 3,Fire-Tac,Fire and Rescue NSW,P25,D513 DIGITAL-RPT 3,RM,110 NAC,Public Safety,5: TASK,,Fire and Rescue NSW (FRNSW),421.7625
Broken Hill,Corrections,NSW Corrective Services,FM,Broken Hill Correctional Centre,RM,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,78.850
Grafton,Corrections,NSW Corrective Services,FM,"Grafton Correctional Centre - Cangai East, Grafton",RM,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,78.850
Glen innes,Corrections,NSW Corrective Services,FM,Glenn Innes Correctional Centre - Mt Mitchell,RM,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,78.850
Cessnock CC,Data,NSW Corrective Services,FM,Cessnock Correctional Centre - Paging Data 3.5w,F,,Public Safety,NSW Corrective Services,,NSW Corrective Services,148.3375
Long Bay,Corrections,NSW Corrective Services,FM,Special Purpose Centre - Long Bay Complex - Tx Malabar 5w,RM,,Public Safety,NSW Corrective Services,,NSW Corrective Services,412.125
Tumbarumba,Corrections,NSW Corrective Services,FM,Tumbarumba Correctional Centre,RM,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,414.600
Tumbarumba,Corrections,NSW Corrective Services,FM,Tumbarumba Correctional Centre,RM,,Public Safety,NSW Corrective Services,VMN930,NSW Corrective Services,416.2625
Mulawa,Corrections,NSW Corrective Services,FM,Mulawa Correctional Centre Silverwater,RM,,Public Safety,NSW Corrective Services,VME282,NSW Corrective Services,450.125
Westmead,Corrections,NSW Corrective Services,FM,Westmead,B,,Public Safety,NSW Corrective Services,VZN752,NSW Corrective Services,450.175
Parklea,Corrections,NSW Corrective Services,FM,Parklea Correctional Centre,RM,,Public Safety,NSW Corrective Services,VZN521,NSW Corrective Services,450.475
NSW Wide,Corrections,NSW Corrective Services,FM,NSW Corrective Services - NSW Wide,RM,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,462.0625
Katingal,Corrections,NSW Corrective Services,FM,"Katingal Prison, Long Bay, Malabar",RM,,Public Safety,NSW Corrective Services,VZN924,NSW Corrective Services,462.250
Parramatta,Corrections,NSW Corrective Services,FM,Parramatta Correctional Centre - North Parramatta,RM,,Public Safety,NSW Corrective Services,VZE959,NSW Corrective Services,463.625
Lithgow CC,Corrections,NSW Corrective Services,FM,Lithgow Correctional Centre,RM,,Public Safety,NSW Corrective Services,VJE418,NSW Corrective Services,463.625
Parklea,Corrections,NSW Corrective Services,FM,Parklea Correctional Centre,RM,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,463.625
Cessnock CC,Corrections,NSW Corrective Services,FM,Cessnock Correctional Centre,RM,,Public Safety,NSW Corrective Services,VZN749,NSW Corrective Services,463.625
MCC SilverW,Corrections,NSW Corrective Services,FM,Mulwa Coorectional Centre Silverwater,RM,,Public Safety,NSW Corrective Services,,NSW Corrective Services,463.6625
MRCC SilverW,Corrections,NSW Corrective Services,FM,Silverwater Correctional Centre (MRCC),RM,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,464.550
Kariong,Corrections,NSW Corrective Services,FM,Kariong Juvenille Justice Centre,RM,,Public Safety,NSW Corrective Services,VME724,NSW Corrective Services,465.150
Windosr,Corrections,NSW Corrective Services,FM,"Windsor Correctional Centre, South Windsor",B,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,467.025
Goulburn,Corrections,NSW Corrective Services,FMN,Goulburn Correctional Centre,RM,107.2 PL,Public Safety,NSW Corrective Services,AXC658,NSW Corrective Services,467.575
Emu Plains,Corrections,NSW Corrective Services,FM,Emu Plains Correctional Centre,RM,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,467.700
Kempsey CC,Corrections,NSW Corrective Services,FM,"Kempsey Correctional Centre, Aldavilla",RM,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,467.700
Bathurst,Corrections,NSW Corrective Services,FM,Bathurst Correctional Centre,RM,,Public Safety,NSW Corrective Services,VZN205,NSW Corrective Services,467.700
St HeliersCC,Corrections,NSW Corrective Services,FM,St Heliers Correctional Centre Muswellbrook,RM,,Public Safety,NSW Corrective Services,AXE431,NSW Corrective Services,467.700
Silverwater,Corrections,NSW Corrective Services,FM,Silverwater Correctional Centre (MRCC),RM,107.2 PL,Public Safety,NSW Corrective Services,VKE882,NSW Corrective Services,467.700
Goulburn CC,Corrections,NSW Corrective Services,FM,Goulburn Correctional Centre,B,,Public Safety,NSW Corrective Services,VKE858,NSW Corrective Services,469.525
Second Chce,Corrections,NSW Corrective Services,FM,"Second Chance Program Site Via Gongolgon, Brewarrina",B,,Public Safety,NSW Corrective Services,VKE930,NSW Corrective Services,469.525
Grafton CC,Corrections,NSW Corrective Services,FM,Grafton Correctional Centre,F,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,469.525
EmuPlains CC,Corrections,NSW Corrective Services,FM,Emu Plains Correctional Centre,B,,Public Safety,NSW Corrective Services,,NSW Corrective Services,469.525
EmuPlains CC,Corrections,NSW Corrective Services,FM,Emu Plains Correctional Centre,B,,Public Safety,NSW Corrective Services,VKE860,NSW Corrective Services,469.525
Parklea CC,Corrections,NSW Corrective Services,FM,Parklea Correctional Centre,B,,Public Safety,NSW Corrective Services,VKE859,NSW Corrective Services,469.525
Cooma CC,Corrections,NSW Corrective Services,FM,Cooma Correctional Centre,B,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,469.525
Windosr CC,Corrections,NSW Corrective Services,FM,Windsor Correctional Centre - South Windsor,B,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,469.525
Bathurst CC,Corrections,NSW Corrective Services,FM,Bathurst Correctional Centre,B,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,469.525
Afforestatio,Corrections,NSW Corrective Services,FM,"Afforestation Camp, Glen Innes.",B,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,469.525
Ivanhoe CC,Corrections,NSW Corrective Services,FM,Ivanhoe Correctional Centre - Ivanhoe,B,,Public Safety,NSW Corrective Services,VKE931,NSW Corrective Services,469.525
Katingal,Corrections,NSW Corrective Services,FM,"Katingal Prison, Long Bay, Malabar",B,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,469.525
CC NSW Wide,Corrections,NSW Corrective Services,FM,NSW Corrective Services - NSW Wide,B,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,469.775
Silverwater,Corrections,NSW Corrective Services,FM,Silverwater Correctional Centre (MRCC),B,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,469.925
Windsor CC,Corrections,NSW Corrective Services,FM,"Windsor Correctional Centre, South Windsor",B,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,469.975
Parramatta,Corrections,NSW Corrective Services,FM,Parramatta Correctional Centre - North Parramatta,B,,Public Safety,NSW Corrective Services,VKE857,NSW Corrective Services,469.975
Grafton CC,Corrections,NSW Corrective Services,FM,Grafton Correctional Centre - Cangai East,RM,,Public Safety,NSW Corrective Services,,NSW Corrective Services,470.300
Mulawa,Corrections,NSW Corrective Services,FM,Junee Correctional Centre (Mulawa),RM,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,470.300
Wollongong,Corrections,NSW Corrective Services,FM,Wollongong Periodic Detention Centre - Unanderra,B,,Public Safety,NSW Corrective Services,,NSW Corrective Services,471.925
Riverina Juv,Corrections,NSW Corrective Services,FM,Riverina Juvenile Justice,RM,,Public Safety,NSW Corrective Services,,NSW Corrective Services,475.100
Katingal,Corrections,NSW Corrective Services,FM,"Katingal Prison, Long Bay - Malabar",RM,,Public Safety,NSW Corrective Services,VL2PL,NSW Corrective Services,489.275
NSW Wide,Public Works,NSW Forestry Commission,FM,NSW wide,RM,,Public Safety,NSW State Forests,VL2FC,NSW Department of Primary Industries,70.550
NSW WideArea,Public Works,NSW Forestry Commission,FM,NSW wide,RM,,Public Safety,NSW State Forests,VL2FC,NSW Department of Primary Industries,73.050
NSW Forest,Public Works,NSW Forestry Commission,FM,Bunnaloo (Moama),RM,,Public Safety,NSW State Forests,VL2FC,NSW Department of Primary Industries,79.1625
Sugarloaf Mt,Public Works,NSW Forestry Commission,FM,"Sugarloaf Mountain, Bowra (Nambucca)",RM,,Public Safety,NSW State Forests,VL2FCY,NSW Department of Primary Industries,79.2125
SugarloafMnt,Public Works,NSW Forestry Commission,FM,"Sugarloaf Mountain, Bowra (Nambucca)",RM,,Public Safety,NSW State Forests,VL2FCY,NSW Department of Primary Industries,464.350
-,Law Talk,NSW Police,USB,Police Airwing Tx Bankstown Airport (USB),B,,Public Safety,NSW POLICE AVIATION FREQUENCY LISTING,VKG,BY FREQUENCY,3.2535
-,Law Talk,NSW Police,USB,Police Airwing Tx Bankstown Airport (USB),B,,Public Safety,NSW POLICE AVIATION FREQUENCY LISTING,VKG,BY FREQUENCY,4.5615
-,Law Talk,NSW Police,USB,Police Airwing Tx Bankstown Airport (USB),B,,Public Safety,NSW POLICE AVIATION FREQUENCY LISTING,VKG,BY FREQUENCY,7.6615
-,Law Talk,NSW Police,USB,Police Airwing Tx Bankstown Airport (USB),B,,Public Safety,NSW POLICE AVIATION FREQUENCY LISTING,VKG,BY FREQUENCY,10.5065
-,Aircraft,NSW Police,AM,Police Airwing Tx Bankstown Airport,B,CSQ,Public Safety,NSW POLICE AVIATION FREQUENCY LISTING,VKG,BY FREQUENCY,131.600
P001,Fire Dispatch,NSW Rural Fire Services,FMN,Channel 1,BM,110.9 PL,Public Safety,Analogue PMR,VL2OR,NSW Rural Fire Services,412.475
P002,Fire Dispatch,NSW Rural Fire Services,FMN,Channel 2,BM,110.9 PL,Public Safety,Analogue PMR,VL2OR,NSW Rural Fire Services,412.500
P003,Fire Dispatch,NSW Rural Fire Services,FMN,Channel 3,BM,110.9 PL,Public Safety,Analogue PMR,VL2OR,NSW Rural Fire Services,412.550
P004,Fire Dispatch,NSW Rural Fire Services,FMN,Channel 4,BM,110.9 PL,Public Safety,Analogue PMR,VL2OR,NSW Rural Fire Services,412.575
P005,Fire Dispatch,NSW Rural Fire Services,FMN,Channel 5,BM,110.9 PL,Public Safety,Analogue PMR,VL2OR,NSW Rural Fire Services,412.600
P006,Fire Dispatch,NSW Rural Fire Services,FMN,Channel 6,BM,110.9 PL,Public Safety,Analogue PMR,VL2OR,NSW Rural Fire Services,412.625
P007,Fire Dispatch,NSW Rural Fire Services,FMN,Channel 7,BM,110.9 PL,Public Safety,Analogue PMR,VL2OR,NSW Rural Fire Services,412.650
P008,Fire Dispatch,NSW Rural Fire Services,FMN,Channel 8,BM,110.9 PL,Public Safety,Analogue PMR,VL2OR,NSW Rural Fire Services,412.700
P009,Fire Dispatch,NSW Rural Fire Services,FMN,Channel 9,BM,110.9 PL,Public Safety,Analogue PMR,VL2OR,NSW Rural Fire Services,412.725
P010,Fire Dispatch,NSW Rural Fire Services,FMN,Channel 10,BM,110.9 PL,Public Safety,Analogue PMR,VL2OR,NSW Rural Fire Services,412.750
P011,Fire Dispatch,NSW Rural Fire Services,FMN,Channel 11,BM,110.9 PL,Public Safety,Analogue PMR,VL2OR,NSW Rural Fire Services,412.800
